Empresa,Mes,Ano,ValorGasto
CENTRAL BRASÍLIA,Janeiro,2025,48876.70
CODEVASF ,Janeiro,2025,
EBC,Janeiro,2025,
ECT,Janeiro,2025,1014.10
ESTÁGIARIOS ,Janeiro,2025,
FAST FLEET,Janeiro,2025,9000.00
G.S.I,Janeiro,2025,112185.43
G.S.I HORAS EXTRAS,Janeiro,2025,
GDF,Janeiro,2025,
MDL,Janeiro,2025,
NEOENERGIA,Janeiro,2025,12772.62
SOLUTION,Janeiro,2025,15786.64
SUPRIMENTO,Janeiro,2025,5000.00
TELEFONIA,Janeiro,2025,8117.98
TICKET SOLUÇÕES,Janeiro,2025,7835.72
IPHAC,Janeiro,2025,5694.44
GRAN COFFEE,Janeiro,2025,
IPTU/TLP,Janeiro,2025,
LICENCIAMENTO VEÍCULOS,Janeiro,2025,
LAVA JATO ,Janeiro,2025,
CENTRAL BRASÍLIA,Fevereiro,2025,37980.58
CODEVASF ,Fevereiro,2025,
EBC,Fevereiro,2025,
ECT,Fevereiro,2025,1415.73
ESTÁGIARIOS ,Fevereiro,2025,
FAST FLEET,Fevereiro,2025,
G.S.I,Fevereiro,2025,152887.81
G.S.I HORAS EXTRAS,Fevereiro,2025,
GDF,Fevereiro,2025,
MDL,Fevereiro,2025,
NEOENERGIA,Fevereiro,2025,13928.86
SOLUTION,Fevereiro,2025,15786.64
SUPRIMENTO,Fevereiro,2025,6250.00
TELEFONIA,Fevereiro,2025,
TICKET SOLUÇÕES,Fevereiro,2025,5469.64
IPHAC,Fevereiro,2025,5890.80
GRAN COFFEE,Fevereiro,2025,
IPTU/TLP,Fevereiro,2025,
LICENCIAMENTO VEÍCULOS,Fevereiro,2025,
LAVA JATO ,Fevereiro,2025,
CENTRAL BRASÍLIA,Março,2025,41668.50
CODEVASF ,Março,2025,
EBC,Março,2025,
ECT,Março,2025,2333.29
ESTÁGIARIOS ,Março,2025,
FAST FLEET,Março,2025,
G.S.I,Março,2025,173199.56
G.S.I HORAS EXTRAS,Março,2025,
GDF,Março,2025,
MDL,Março,2025,
NEOENERGIA,Março,2025,15970.24
SOLUTION,Março,2025,15786.64
SUPRIMENTO,Março,2025,7000.00
TELEFONIA,Março,2025,
TICKET SOLUÇÕES,Março,2025,5090.11
IPHAC,Março,2025,5890.80
GRAN COFFEE,Março,2025,4847.08
IPTU/TLP,Março,2025,
LICENCIAMENTO VEÍCULOS,Março,2025,
LAVA JATO ,Março,2025,1330
CENTRAL BRASÍLIA,Abril ,2025,50040.22
CODEVASF ,Abril ,2025,
EBC,Abril ,2025,
ECT,Abril ,2025,236.90
ESTÁGIARIOS ,Abril ,2025,
FAST FLEET,Abril ,2025,
G.S.I,Abril ,2025,170541.74
G.S.I HORAS EXTRAS,Abril ,2025,
GDF,Abril ,2025,
MDL,Abril ,2025,
NEOENERGIA,Abril ,2025,13749.65
SOLUTION,Abril ,2025,15786.64
SUPRIMENTO,Abril ,2025,6980.33
TELEFONIA,Abril ,2025,
TICKET SOLUÇÕES,Abril ,2025,
IPHAC,Abril ,2025,5236.27
GRAN COFFEE,Abril ,2025,4788.28
IPTU/TLP,Abril ,2025,
LICENCIAMENTO VEÍCULOS,Abril ,2025,
LAVA JATO ,Abril ,2025,1140.00
CENTRAL BRASÍLIA,Maio,2025,
CODEVASF ,Maio,2025,
EBC,Maio,2025,
ECT,Maio,2025,499.58
ESTÁGIARIOS ,Maio,2025,
FAST FLEET,Maio,2025,
G.S.I,Maio,2025,172445.02
G.S.I HORAS EXTRAS,Maio,2025,
GDF,Maio,2025,
MDL,Maio,2025,
NEOENERGIA,Maio,2025,14115.52
SOLUTION,Maio,2025,15786.64
SUPRIMENTO,Maio,2025,5000.00
TELEFONIA,Maio,2025,
TICKET SOLUÇÕES,Maio,2025,12804.00
IPHAC,Maio,2025,3927.20
GRAN COFFEE,Maio,2025,
IPTU/TLP,Maio,2025,
LICENCIAMENTO VEÍCULOS,Maio,2025,
LAVA JATO ,Maio,2025,1080.00
CENTRAL BRASÍLIA,Junho,2025,
CODEVASF ,Junho,2025,
EBC,Junho,2025,
ECT,Junho,2025,707.74
ESTÁGIARIOS ,Junho,2025,
FAST FLEET,Junho,2025,
G.S.I,Junho,2025,
G.S.I HORAS EXTRAS,Junho,2025,
GDF,Junho,2025,
MDL,Junho,2025,
NEOENERGIA,Junho,2025,
SOLUTION,Junho,2025,9471.98
SUPRIMENTO,Junho,2025,5000.00
TELEFONIA,Junho,2025,
TICKET SOLUÇÕES,Junho,2025,
IPHAC,Junho,2025,1963.60
GRAN COFFEE,Junho,2025,
IPTU/TLP,Junho,2025,
LICENCIAMENTO VEÍCULOS,Junho,2025,
LAVA JATO ,Junho,2025,
CENTRAL BRASÍLIA,Julho,2025,
CODEVASF ,Julho,2025,
EBC,Julho,2025,
ECT,Julho,2025,
ESTÁGIARIOS ,Julho,2025,
FAST FLEET,Julho,2025,
G.S.I,Julho,2025,
G.S.I HORAS EXTRAS,Julho,2025,
GDF,Julho,2025,
MDL,Julho,2025,
NEOENERGIA,Julho,2025,
SOLUTION,Julho,2025,
SUPRIMENTO,Julho,2025,5000.00
TELEFONIA,Julho,2025,
TICKET SOLUÇÕES,Julho,2025,
IPHAC,Julho,2025,
GRAN COFFEE,Julho,2025,
IPTU/TLP,Julho,2025,
LICENCIAMENTO VEÍCULOS,Julho,2025,
LAVA JATO ,Julho,2025,
